match_id,opponent_a,opponent_b,desc_display,sport,category,league,sport_code,match_conditional_bet_enabled,match_cashout,stream_ref,tv_channel,start,grouped_market_name,market_id,column_name,market_position,period,style,market_cashout,market_conditional_bet_enabled,selection_id,selection_name,selection_position,selection_odd,selection_conditional_bet_enabled
3322735,Danilin/Krunic,Dabrow/Stefani,Danilin/Krunic vs Dabrow/Stefani,Tennis,WTA,Dubai DF,TENN,False,True,PER:1dzcajfao26do18w1e9nzm6gih,,2602200930,Ecart de Sets - Match,179060131,Ecart de sets,999,Match,PROPOSITION,True,False,655523002,"Danilin/Krunic [+1,5]",1,"1,32",False
3322735,Danilin/Krunic,Dabrow/Stefani,Danilin/Krunic vs Dabrow/Stefani,Tennis,WTA,Dubai DF,TENN,False,True,PER:1dzcajfao26do18w1e9nzm6gih,,2602200930,Ecart de Sets - Match,179060131,Ecart de sets,999,Match,PROPOSITION,True,False,655523000,"Dabrow/Stefani [-1,5]",2,"2,50",False
3322735,Danilin/Krunic,Dabrow/Stefani,Danilin/Krunic vs Dabrow/Stefani,Tennis,WTA,Dubai DF,TENN,False,True,PER:1dzcajfao26do18w1e9nzm6gih,,2602200930,Ecart de Sets - Match,179060132,Ecart de sets,999,Match,PROPOSITION,True,False,655523004,"Danilin/Krunic [-1,5]",1,"2,75",False
3322735,Danilin/Krunic,Dabrow/Stefani,Danilin/Krunic vs Dabrow/Stefani,Tennis,WTA,Dubai DF,TENN,False,True,PER:1dzcajfao26do18w1e9nzm6gih,,2602200930,Ecart de Sets - Match,179060132,Ecart de sets,999,Match,PROPOSITION,True,False,655523005,"Dabrow/Stefani [+1,5]",2,"1,25",False
3322735,Danilin/Krunic,Dabrow/Stefani,Danilin/Krunic vs Dabrow/Stefani,Tennis,WTA,Dubai DF,TENN,False,True,PER:1dzcajfao26do18w1e9nzm6gih,,2602200930,Face à Face - Set,179060139,Face à Face,1,1er Set,TWO_OUTCOME_LONG,True,False,655522991,Danilin/Krunic,1,"1,72",False
3322735,Danilin/Krunic,Dabrow/Stefani,Danilin/Krunic vs Dabrow/Stefani,Tennis,WTA,Dubai DF,TENN,False,True,PER:1dzcajfao26do18w1e9nzm6gih,,2602200930,Face à Face - Set,179060139,Face à Face,1,1er Set,TWO_OUTCOME_LONG,True,False,655522990,Dabrow/Stefani,2,"1,64",False
3322735,Danilin/Krunic,Dabrow/Stefani,Danilin/Krunic vs Dabrow/Stefani,Tennis,WTA,Dubai DF,TENN,False,True,PER:1dzcajfao26do18w1e9nzm6gih,,2602200930,Face à Face - Set,179060134,Face à Face,1,2ème Set,TWO_OUTCOME_LONG,True,False,655522988,Danilin/Krunic,1,"1,72",False
3322735,Danilin/Krunic,Dabrow/Stefani,Danilin/Krunic vs Dabrow/Stefani,Tennis,WTA,Dubai DF,TENN,False,True,PER:1dzcajfao26do18w1e9nzm6gih,,2602200930,Face à Face - Set,179060134,Face à Face,1,2ème Set,TWO_OUTCOME_LONG,True,False,655522989,Dabrow/Stefani,2,"1,64",False
3322735,Danilin/Krunic,Dabrow/Stefani,Danilin/Krunic vs Dabrow/Stefani,Tennis,WTA,Dubai DF,TENN,False,True,PER:1dzcajfao26do18w1e9nzm6gih,,2602200930,Vainqueur 1er Set / Vainqueur match - Match,179060130,Vainqueur 1er Set/Match,220,Match,TWO_TEAMS_PRESENT,False,False,655522987,Danilin/Krunic / Danilin/Krunic,1,"2,10",False
3322735,Danilin/Krunic,Dabrow/Stefani,Danilin/Krunic vs Dabrow/Stefani,Tennis,WTA,Dubai DF,TENN,False,True,PER:1dzcajfao26do18w1e9nzm6gih,,2602200930,Vainqueur 1er Set / Vainqueur match - Match,179060130,Vainqueur 1er Set/Match,220,Match,TWO_TEAMS_PRESENT,False,False,655522985,Danilin/Krunic / Dabrow/Stefani,2,"6,70",False
3322735,Danilin/Krunic,Dabrow/Stefani,Danilin/Krunic vs Dabrow/Stefani,Tennis,WTA,Dubai DF,TENN,False,True,PER:1dzcajfao26do18w1e9nzm6gih,,2602200930,Vainqueur 1er Set / Vainqueur match - Match,179060130,Vainqueur 1er Set/Match,220,Match,TWO_TEAMS_PRESENT,False,False,655522986,Dabrow/Stefani / Danilin/Krunic,3,"6,90",False
3322735,Danilin/Krunic,Dabrow/Stefani,Danilin/Krunic vs Dabrow/Stefani,Tennis,WTA,Dubai DF,TENN,False,True,PER:1dzcajfao26do18w1e9nzm6gih,,2602200930,Vainqueur 1er Set / Vainqueur match - Match,179060130,Vainqueur 1er Set/Match,220,Match,TWO_TEAMS_PRESENT,False,False,655522984,Dabrow/Stefani / Dabrow/Stefani,4,"1,90",False
3322735,Danilin/Krunic,Dabrow/Stefani,Danilin/Krunic vs Dabrow/Stefani,Tennis,WTA,Dubai DF,TENN,False,True,PER:1dzcajfao26do18w1e9nzm6gih,,2602200930,Joueur gagne exactement 1 Set - Match,179060136,Danilin/Krunic gagne exactement 1 Set,999,Match,PROPOSITION,False,False,655522996,Oui,1,"3,30",False
3322735,Danilin/Krunic,Dabrow/Stefani,Danilin/Krunic vs Dabrow/Stefani,Tennis,WTA,Dubai DF,TENN,False,True,PER:1dzcajfao26do18w1e9nzm6gih,,2602200930,Joueur gagne exactement 1 Set - Match,179060136,Danilin/Krunic gagne exactement 1 Set,999,Match,PROPOSITION,False,False,655522998,Non,2,"1,13",False
3322735,Danilin/Krunic,Dabrow/Stefani,Danilin/Krunic vs Dabrow/Stefani,Tennis,WTA,Dubai DF,TENN,False,True,PER:1dzcajfao26do18w1e9nzm6gih,,2602200930,Joueur gagne exactement 1 Set - Match,179060133,Dabrow/Stefani gagne exactement 1 Set,999,Match,PROPOSITION,False,False,655523006,Oui,1,"3,30",False
3322735,Danilin/Krunic,Dabrow/Stefani,Danilin/Krunic vs Dabrow/Stefani,Tennis,WTA,Dubai DF,TENN,False,True,PER:1dzcajfao26do18w1e9nzm6gih,,2602200930,Joueur gagne exactement 1 Set - Match,179060133,Dabrow/Stefani gagne exactement 1 Set,999,Match,PROPOSITION,False,False,655523007,Non,2,"1,13",False
3322735,Danilin/Krunic,Dabrow/Stefani,Danilin/Krunic vs Dabrow/Stefani,Tennis,WTA,Dubai DF,TENN,False,True,PER:1dzcajfao26do18w1e9nzm6gih,,2602200930,Le joueur remportera-t-il au moins 1 set ? - Match,179060138,Le joueur remportera-t-il au moins 1 set ? - Dabrow/Stefani,4,Match,TWO_OUTCOME_LONG,True,False,655522983,Oui,1,"1,25",False
3322735,Danilin/Krunic,Dabrow/Stefani,Danilin/Krunic vs Dabrow/Stefani,Tennis,WTA,Dubai DF,TENN,False,True,PER:1dzcajfao26do18w1e9nzm6gih,,2602200930,Le joueur remportera-t-il au moins 1 set ? - Match,179060138,Le joueur remportera-t-il au moins 1 set ? - Dabrow/Stefani,4,Match,TWO_OUTCOME_LONG,True,False,655522982,Non,2,"2,60",False
3322735,Danilin/Krunic,Dabrow/Stefani,Danilin/Krunic vs Dabrow/Stefani,Tennis,WTA,Dubai DF,TENN,False,True,PER:1dzcajfao26do18w1e9nzm6gih,,2602200930,Le joueur remportera-t-il au moins 1 set ? - Match,179060140,Le joueur remportera-t-il au moins 1 set ? - Danilin/Krunic,4,Match,TWO_OUTCOME_LONG,True,False,655522997,Oui,1,"1,30",False
3322735,Danilin/Krunic,Dabrow/Stefani,Danilin/Krunic vs Dabrow/Stefani,Tennis,WTA,Dubai DF,TENN,False,True,PER:1dzcajfao26do18w1e9nzm6gih,,2602200930,Le joueur remportera-t-il au moins 1 set ? - Match,179060140,Le joueur remportera-t-il au moins 1 set ? - Danilin/Krunic,4,Match,TWO_OUTCOME_LONG,True,False,655522999,Non,2,"2,40",False
3322735,Danilin/Krunic,Dabrow/Stefani,Danilin/Krunic vs Dabrow/Stefani,Tennis,WTA,Dubai DF,TENN,False,True,PER:1dzcajfao26do18w1e9nzm6gih,,2602200930,Face à Face - Match,179038908,Face à Face,1,Match,TWO_OUTCOME_LONG,True,False,655439028,Danilin/Krunic,1,"1,90",False
3322735,Danilin/Krunic,Dabrow/Stefani,Danilin/Krunic vs Dabrow/Stefani,Tennis,WTA,Dubai DF,TENN,False,True,PER:1dzcajfao26do18w1e9nzm6gih,,2602200930,Face à Face - Match,179038908,Face à Face,1,Match,TWO_OUTCOME_LONG,True,False,655439029,Dabrow/Stefani,2,"1,75",False
3322735,Danilin/Krunic,Dabrow/Stefani,Danilin/Krunic vs Dabrow/Stefani,Tennis,WTA,Dubai DF,TENN,False,True,PER:1dzcajfao26do18w1e9nzm6gih,,2602200930,Score Exact - Match,179060135,Score Exact,2,Match,CORRECT_SCORE_TWO_PLAYER,True,False,655522994,2 - 0,1,"2,95",False
3322735,Danilin/Krunic,Dabrow/Stefani,Danilin/Krunic vs Dabrow/Stefani,Tennis,WTA,Dubai DF,TENN,False,True,PER:1dzcajfao26do18w1e9nzm6gih,,2602200930,Score Exact - Match,179060135,Score Exact,2,Match,CORRECT_SCORE_TWO_PLAYER,True,False,655522992,2 - 1,2,"4,20",False
3322735,Danilin/Krunic,Dabrow/Stefani,Danilin/Krunic vs Dabrow/Stefani,Tennis,WTA,Dubai DF,TENN,False,True,PER:1dzcajfao26do18w1e9nzm6gih,,2602200930,Score Exact - Match,179060135,Score Exact,2,Match,CORRECT_SCORE_TWO_PLAYER,True,False,655522995,0 - 2,3,"2,60",False
3322735,Danilin/Krunic,Dabrow/Stefani,Danilin/Krunic vs Dabrow/Stefani,Tennis,WTA,Dubai DF,TENN,False,True,PER:1dzcajfao26do18w1e9nzm6gih,,2602200930,Score Exact - Match,179060135,Score Exact,2,Match,CORRECT_SCORE_TWO_PLAYER,True,False,655522993,1 - 2,4,"4,05",False
3322735,Danilin/Krunic,Dabrow/Stefani,Danilin/Krunic vs Dabrow/Stefani,Tennis,WTA,Dubai DF,TENN,False,True,PER:1dzcajfao26do18w1e9nzm6gih,,2602200930,Les 2 joueurs gagnent 1 set - Match,179038906,Les deux joueurs gagnent un set,999,Match,PROPOSITION,False,False,655439055,Oui,1,"2,00",False
3322735,Danilin/Krunic,Dabrow/Stefani,Danilin/Krunic vs Dabrow/Stefani,Tennis,WTA,Dubai DF,TENN,False,True,PER:1dzcajfao26do18w1e9nzm6gih,,2602200930,Les 2 joueurs gagnent 1 set - Match,179038906,Les deux joueurs gagnent un set,999,Match,PROPOSITION,False,False,655439056,Non,2,"1,45",False
3322735,Danilin/Krunic,Dabrow/Stefani,Danilin/Krunic vs Dabrow/Stefani,Tennis,WTA,Dubai DF,TENN,False,True,PER:1dzcajfao26do18w1e9nzm6gih,,2602200930,Nombre de sets dans le match - Match,179060137,Nombre de sets dans le match,7,Match,TWO_OUTCOME_LONG,True,False,655523003,2 sets,1,"1,45",False
